epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6402.74,1.54287,0.98124,1.17417,0.83734,0.72911,0.79131,0.46603,1.48263,1.01995,1.13137,0.00373312,0.00373312,0.00373312
43,6553.44,1.54243,0.97895,1.17282,0.82256,0.72301,0.78789,0.46521,1.46982,1.02008,1.11513,0.00352037,0.00352037,0.00352037
44,6704.58,1.54038,0.97563,1.17099,0.84105,0.71061,0.79207,0.46673,1.48567,1.01221,1.12498,0.00331069,0.00331069,0.00331069
45,6854.92,1.53326,0.96526,1.16783,0.83087,0.72676,0.794,0.4661,1.48345,1.01758,1.12157,0.00310453,0.00310453,0.00310453
46,7008.33,1.52666,0.95675,1.16041,0.83597,0.72322,0.79215,0.46416,1.47299,1.02183,1.11951,0.00290228,0.00290228,0.00290228
47,7161.17,1.52318,0.95057,1.16044,0.81661,0.71897,0.79196,0.46629,1.48292,1.03391,1.12268,0.00270435,0.00270435,0.00270435
48,7312.41,1.51899,0.94449,1.15769,0.83042,0.72142,0.79149,0.46478,1.48883,1.02987,1.12453,0.00251115,0.00251115,0.00251115
49,7462.87,1.50853,0.9369,1.1553,0.81648,0.74098,0.79226,0.46838,1.47696,1.03143,1.12011,0.00232306,0.00232306,0.00232306
50,7615.2,1.5072,0.92906,1.15384,0.84354,0.71472,0.78857,0.46498,1.48918,1.03658,1.13008,0.00214046,0.00214046,0.00214046
51,7767.76,1.50336,0.92785,1.15186,0.83732,0.72395,0.79492,0.46772,1.49039,1.02755,1.12813,0.00196373,0.00196373,0.00196373
52,7919.81,1.49875,0.91929,1.15007,0.84328,0.72332,0.79264,0.46615,1.48739,1.02727,1.1278,0.0017932,0.0017932,0.0017932
53,8072.09,1.49342,0.91495,1.14568,0.84008,0.71762,0.79576,0.46628,1.48999,1.0302,1.12825,0.00162924,0.00162924,0.00162924
54,8225.87,1.49135,0.9089,1.14355,0.8306,0.7234,0.79065,0.46597,1.48626,1.03763,1.12819,0.00147217,0.00147217,0.00147217
55,8377.24,1.48853,0.90737,1.14179,0.82682,0.72991,0.79335,0.46629,1.47998,1.04071,1.1223,0.0013223,0.0013223,0.0013223
56,8528.1,1.48163,0.89855,1.13875,0.83332,0.72594,0.79231,0.46421,1.48703,1.04231,1.12407,0.00117993,0.00117993,0.00117993
57,8681.56,1.48407,0.89879,1.13997,0.84734,0.71298,0.7906,0.46466,1.49018,1.04194,1.1278,0.00104537,0.00104537,0.00104537
58,8834.59,1.47577,0.89138,1.13754,0.82337,0.72402,0.79004,0.46547,1.49155,1.04584,1.13025,0.000918862,0.000918862,0.000918862
59,8987.46,1.47924,0.89381,1.13803,0.81891,0.72924,0.79059,0.46534,1.48886,1.0351,1.12865,0.000800678,0.000800678,0.000800678
60,9139.2,1.46508,0.88384,1.13153,0.81807,0.72832,0.79134,0.46586,1.49095,1.03845,1.13297,0.000691052,0.000691052,0.000691052
61,9271.56,1.30123,0.61568,1.06834,0.82199,0.73451,0.79025,0.46249,1.49724,1.03122,1.13456,0.000590204,0.000590204,0.000590204
62,9402.95,1.28231,0.59358,1.0621,0.82509,0.73422,0.7903,0.46444,1.50416,1.03071,1.13514,0.000498338,0.000498338,0.000498338
63,9533.74,1.27138,0.58555,1.05475,0.82982,0.73523,0.79154,0.465,1.50255,1.03252,1.1334,0.000415637,0.000415637,0.000415637
64,9664.24,1.26335,0.58055,1.05333,0.81132,0.74547,0.79074,0.46417,1.50082,1.03654,1.13351,0.00034227,0.00034227,0.00034227
65,9794.51,1.25946,0.57546,1.05181,0.81643,0.74538,0.79397,0.46442,1.50104,1.03795,1.13454,0.000278384,0.000278384,0.000278384
66,9925.5,1.25003,0.57222,1.04641,0.81924,0.74549,0.79218,0.46367,1.50013,1.03783,1.13373,0.000224107,0.000224107,0.000224107
67,10056,1.25317,0.57087,1.04752,0.82029,0.74588,0.79237,0.46302,1.50251,1.0397,1.134,0.000179549,0.000179549,0.000179549
68,10186.8,1.2516,0.56829,1.04654,0.82124,0.74528,0.79276,0.46243,1.50542,1.04064,1.13443,0.000144799,0.000144799,0.000144799
69,10317.4,1.2495,0.56665,1.04701,0.8256,0.74593,0.7915,0.46259,1.50424,1.0383,1.13309,0.000119927,0.000119927,0.000119927
70,10448.6,1.24949,0.56551,1.04897,0.82793,0.7454,0.79069,0.46329,1.50247,1.03769,1.13194,0.000104984,0.000104984,0.000104984
